,zip,zip add,Lat,Lng
441,96472,"96472, Germany",50.3109186,11.0324667
442,27804,"27804, Germany",53.1656868,8.463132
443,65428,"65428, Germany",49.9901899,8.432798199999999
444,35305,"35305, Germany",50.6053598,8.9574649
445,12209,"12209, Germany",52.4182491,13.3288407
446,63674,"63674, Germany",50.2830501,8.948226499999999
447,66953,"66953, Germany",49.2049969,7.6042103
448,32105,"32105, Germany",52.0848218,8.7464532
449,38364,"38364, Germany",52.1394332,10.9602228
450,18507,"18507, Germany",54.11059119999999,13.0343027
451,72458,"72458, Germany",48.2136917,9.023463099999999
452,91224,"91224, Germany",49.5046681,11.5091641
453,66484,"66484, Germany",49.19983509999999,7.4693601
454,71679,"71679, Germany",48.9065017,9.141133000000002
455,72290,"72290, Germany",48.3975208,8.4676042
456,53604,"53604, Germany",50.6497767,7.278090300000001
457,29664,"29664, Germany",52.8794368,9.5211797
458,66740,"66740, Germany",49.30130399999999,6.736950600000001
459,14109,"14109, Germany",52.415113,13.1468678
460,53844,"53844, Germany",50.7858479,7.102913099999999
461,7580,"07580, Germany",50.8644901,12.1807305
462,97688,"97688, Germany",50.21243639999999,10.0588367
463,56316,"56316, Germany",50.5748537,7.625111700000001
464,95659,"95659, Germany",50.057773,12.1893646
465,63571,"63571, Germany",50.2199157,9.2226512
466,86316,"86316, Germany",48.3611184,11.0203751
467,94474,"94474, Germany",48.6187819,13.1748089
468,72127,"72127, Germany",48.4897476,9.102184500000002
469,53879,"53879, Germany",50.6533185,6.788765199999999
470,17498,"17498, Germany",54.1184243,13.3762383
471,88250,"88250, Germany",47.809185,9.6416187
472,1324,"01324, Germany",51.0618662,13.8547719
473,17235,"17235, Germany",53.343294,13.0902612
474,53225,"53225, Germany",50.7589505,7.115776299999999
475,79379,"79379, Germany",47.8165337,7.637024099999999
476,45731,"45731, Germany",51.62966340000001,7.402965399999998
477,44625,"44625, Germany",51.5279591,7.210458999999998
478,12357,"12357, Germany",52.4275753,13.488207
479,22047,"22047, Germany",53.58895099999999,10.0986376
480,74078,"74078, Germany",49.17395459999999,9.1699726
481,64711,"64711, Germany",49.63757769999999,9.006435399999999
482,87640,"87640, Germany",47.8297724,10.6411599
483,41836,"41836, Germany",51.0454321,6.222254899999999
484,66679,"66679, Germany",49.5162863,6.725797699999999
485,88682,"88682, Germany",47.7730623,9.297166299999999
486,77866,"77866, Germany",48.6566608,7.9421746
487,66287,"66287, Germany",49.322948,7.0548317
488,57258,"57258, Germany",50.9016203,7.9034589
489,66839,"66839, Germany",49.4377579,6.8448336
490,74199,"74199, Germany",49.0956093,9.319695699999999
491,4769,"04769, Germany",51.236385,13.0452199
492,16540,"16540, Germany",52.6621485,13.2669471
493,96152,"96152, Germany",49.7344614,10.534869
494,21723,"21723, Germany",53.5920739,9.5506199
495,64665,"64665, Germany",49.7365976,8.585234
496,31089,"31089, Germany",52.0049459,9.6971513
497,30926,"30926, Germany",52.3903042,9.5688702
498,21357,"21357, Germany",53.31763790000001,10.3797536
499,56812,"56812, Germany",50.1372551,7.171833200000001
500,47475,"47475, Germany",51.5133491,6.5136635
501,45711,"45711, Germany",51.6555326,7.3284165
502,73095,"73095, Germany",48.6914289,9.565043099999999
503,37586,"37586, Germany",51.8125693,9.696159
504,69207,"69207, Germany",49.3422165,8.6462981
505,22609,"22609, Germany",53.55445959999999,9.8429836
506,65719,"65719, Germany",50.0951493,8.4117234
507,47551,"47551, Germany",51.7631112,6.197811199999999
508,59065,"59065, Germany",51.6905221,7.8117261
509,75334,"75334, Germany",48.8373378,8.5243424
510,66919,"66919, Germany",49.3367496,7.6075394
